Transaction ID,Customer Name,Customer Email,Region,Product Category,Product,Quantity,Unit Price,Total Sales,Transaction Date,Payment Method,,,,,,,
83098ffa-202b-47de-9bc7-42f62c32aa27,Aaron Reed,mark53@diaz-butler.com,East,Clothing,She,14,330.94,4633.16,04/02/2024,Bank Transfer,,,,,,,
806eae59-103e-40a7-ac4a-213807df7c31,Adam Hudson,morgan09@fisher.info,East,Clothing,Hard,3,494.24,1482.72,10/01/2024,Debit Card,,,83098ffa,,,,
2703cc75-338a-48fe-98d7-eaabfe9af427,Adrian Tran,william43@williamson-richardson.net,East,Furniture,Road,4,31.87,127.48,19/03/2024,PayPal,,,,,,,
bf594274-2408-4cba-87e4-c73b017c4355,Alexa Greene,dbrooks@yahoo.com,East,Food,Writer,14,38.17,534.38,20/04/2024,Bank Transfer,,,,,funmi,somoye,funmisomoye
a636472a-6281-4412-b16d-0ce368f49d01,Alexandra Rodriguez,frostjoshua@walls-shaw.info,East,Food,Expert,16,351.78,5628.48,25/07/2024,PayPal,,,fe9af427,,funmi,somoye,
b3aa8402-b6ba-457b-a7a8-d87d6cbcbb0a,Alicia Arnold,lunajason@moore.org,East,Food,Skin,9,302.57,2723.13,02/02/2024,PayPal,,,,,,,
121e5d99-1b67-4001-a69f-96d6423c19c0,Alicia Harmon,tiffany91@gmail.com,East,Books,Industry,4,248.65,994.6,31/07/2024,Debit Card,,,,,,,
88d968d8-0bc6-419e-b7f0-6b9c67ebb4a0,Amanda Galvan,zrogers@stewart.org,East,Clothing,As,16,482.77,7724.32,13/06/2024,Credit Card,,,,,,,
07dae238-6efa-46ea-97b0-5bb3b3b577a6,Amanda Rodriguez,tanyaeverett@lewis-medina.com,East,Books,Never,1,78.83,78.83,29/06/2024,Debit Card,,,,,,,
f9da9c14-afb7-4fa6-a53d-39bf8c31940f,Amanda Snyder,erica46@yahoo.com,East,Books,Member,5,371.63,1858.15,06/04/2024,PayPal,,,,,,,
71a80423-5e6a-428f-9e74-112f3f7546fb,Amber Cox,mwalker@clark-dixon.biz,East,Books,Remember,15,211.05,3165.75,20/04/2024,Debit Card,,,,,,,
6d7d9a6d-8df5-4283-bf1c-c57abf546707,Andrea Wilson,xaviermartinez@hotmail.com,East,Books,Lose,18,162.76,2929.68,04/01/2024,PayPal,,,,,,,
ccc44304-5b31-4542-9968-c34e038c749f,Andres May,ecampbell@hotmail.com,East,Books,Pressure,1,419.55,419.55,30/03/2024,Bank Transfer,,,,,,,
edc4f885-086a-42b4-97e4-ec805cceef72,Andrew Harris,erinli@martin.com,East,Books,To,18,214.78,3866.04,04/04/2024,Debit Card,,,,,,,
ed6d350f-6d98-4777-ac91-73bcf6521fad,Andrew Harris,maurice74@lowe-white.com,East,Furniture,Various,9,339.99,3059.91,20/01/2024,Debit Card,,,,,,,
